run_id,decision_number,inference_time,distance_before,distance_after,dx,dz,good_move
1,1,6.0414,5.0839,4.5487,-0.5000,0.5000,true
1,2,4.4756,4.5487,4.0662,-0.5000,0.5000,true
1,3,4.2208,4.0662,3.6576,-0.5000,0.5000,true
1,4,4.3501,3.6576,3.0724,0.5000,0.5000,true
1,5,4.7745,3.0724,2.6988,-0.5000,0.5000,true
1,6,4.1541,2.6988,2.4753,-0.5000,0.5000,true
1,7,4.2575,2.4753,1.7857,0.5000,0.5000,true
1,8,4.9126,1.7857,1.1180,0.5000,0.5000,true
1,9,5.0368,1.1180,1.0459,-0.5000,0.5000,true
1,10,4.1068,1.0459,1.3920,-0.5000,0.5000,false
1,11,5.2728,1.3920,0.9996,0.5000,0.5000,true
1,12,3.9481,0.9996,0.3941,0.5000,-0.5000,true
2,1,3.9128,4.2103,3.5507,0.5000,0.5000,true
2,2,3.9120,3.5507,3.3372,-0.5000,0.5000,true
2,3,4.2379,3.3372,2.6492,0.5000,0.5000,true
2,4,4.6352,2.6492,1.9748,0.5000,0.5000,true
2,5,3.9155,1.9748,1.8518,-0.5000,0.5000,true
2,6,4.1108,1.8518,1.1447,0.5000,0.5000,true
2,7,2.7184,1.1447,0.4379,0.5000,0.5000,true
3,1,5.7241,4.0406,3.3793,-0.5000,-0.5000,true
3,2,4.5246,3.3793,2.7411,-0.5000,-0.5000,true
3,3,3.9879,2.7411,2.1464,-0.5000,-0.5000,true
3,4,3.5691,2.1464,1.8047,0.5000,-0.5000,true
3,5,3.0624,1.8047,1.1621,-0.5000,-0.5000,true
3,6,4.1120,1.1621,0.6665,-0.5000,-0.5000,true
4,1,4.3398,4.1449,3.4469,-0.5000,-0.5000,true
4,2,4.2742,3.4469,2.7534,-0.5000,-0.5000,true
4,3,4.1715,2.7534,2.0692,-0.5000,-0.5000,true
4,4,4.1967,2.0692,1.4078,-0.5000,-0.5000,true
4,5,4.1133,1.4078,0.8260,-0.5000,-0.5000,true
4,6,4.4290,0.8260,0.6186,-0.5000,-0.5000,true
5,1,4.8114,4.2037,3.5683,-0.5000,-0.5000,true
5,2,4.1804,3.5683,2.9654,-0.5000,-0.5000,true
5,3,3.5246,2.9654,2.4197,-0.5000,-0.5000,true
5,4,5.6554,2.4197,1.9789,-0.5000,-0.5000,true
5,5,3.2264,1.9789,1.7255,-0.5000,-0.5000,true
5,6,4.2119,1.7255,1.7432,-0.5000,-0.5000,false
5,7,4.0643,1.7432,1.0668,-0.5000,0.5000,true
5,8,4.3520,1.0668,1.0377,0.5000,0.5000,false
5,9,3.9095,1.0377,0.4201,-0.5000,0.5000,true
6,1,4.3879,4.9686,4.4918,-0.5000,-0.5000,true
