run_id,timestamp,seed,starting_distance,decision_count,inference_time_total,inference_time_mean,inference_time_min,inference_time_max,recording_duration,goal_reached,good_moves,bad_moves,good_move_rate,final_distance,path_efficiency
1,1780143326,1780143215,5.0839,12,55.5511,4.6293,3.9481,6.0414,111.4090,true,11,1,0.9167,0.3941,0.9446
2,1780143575,1780143517,4.2103,7,27.4426,3.9204,2.7184,4.6352,57.8880,true,7,0,1.0000,0.4379,1.1161
3,1780143650,1780143601,4.0406,6,24.9800,4.1633,3.0624,5.7241,48.5030,true,6,0,1.0000,0.6665,1.1975
4,1780143827,1780143776,4.1449,6,25.5246,4.2541,4.1133,4.4290,50.6550,true,6,0,1.0000,0.6186,1.1754
5,1780143923,1780143856,4.2037,9,37.9358,4.2151,3.2264,5.6554,66.7740,true,7,0,0.7778,0.4201,1.1007
6,1780144009,1780143943,4.9686,9,37.9734,4.2193,3.6830,4.6388,66.2080,true,9,0,1.0000,0.6554,1.1519
7,1780144149,1780144081,6.0984,9,37.7563,4.1951,3.2946,5.1296,67.5140,true,9,0,1.0000,0.7882,1.1484
8,1780144266,1780144170,5.0971,13,53.1668,4.0898,3.6843,4.5219,95.9690,true,11,2,0.8462,0.1735,0.9487
9,1780144349,1780144288,4.1794,8,35.3005,4.4126,3.7053,7.4703,61.2000,true,6,1,0.7500,0.7556,1.0230
10,1780144422,1780144370,4.0377,7,28.5131,4.0733,3.7608,4.9760,51.1700,true,7,0,1.0000,0.3638,1.0990
11,1780144519,1780144445,4.0491,10,41.4752,4.1475,3.3887,5.7755,74.0470,true,8,2,0.8000,0.4439,0.7145
12,1780144592,1780144538,4.6110,7,30.3957,4.3422,3.9009,5.1349,53.9660,true,6,0,0.8571,0.3619,1.0852
13,1780144697,1780144612,5.3631,11,49.0997,4.4636,3.7641,5.3825,85.4090,true,10,1,0.9091,0.7574,1.1254
14,1780144786,1780144724,4.7807,8,36.1831,4.5229,3.7158,7.3544,61.4360,true,8,0,1.0000,0.5932,1.1417
15,1780144868,1780144803,4.2428,8,38.5411,4.8176,4.2793,7.3699,64.4340,true,7,0,0.8750,0.7095,1.2008
16,1780144976,1780144916,4.0064,8,33.1491,4.1436,3.8429,4.7075,59.4920,true,6,2,0.7500,0.6819,0.8292
17,1780145052,1780145005,4.4153,6,27.1766,4.5294,3.8890,6.7302,46.6630,true,6,0,1.0000,0.6250,1.1649
18,1780145142,1780145076,4.4027,9,37.4049,4.1561,3.8093,5.0325,66.0270,true,8,1,0.8889,0.6262,0.9580
19,1780145240,1780145173,5.2346,9,40.5859,4.5095,3.7440,6.7309,67.4910,true,9,0,1.0000,0.4433,1.0925
20,1780145334,1780145257,5.4351,10,46.5816,4.6582,3.6678,7.4719,77.7950,true,10,0,1.0000,0.3758,1.0743
21,1780145400,1780145358,4.7585,6,24.5274,4.0879,3.8518,4.2835,42.3220,true,6,0,1.0000,0.7396,1.1840
22,1780145489,1780145417,5.1783,9,43.1254,4.7917,3.9357,9.1853,71.8740,true,9,0,1.0000,0.4749,1.1010
23,1780145667,1780145612,4.0835,5,23.2575,4.6515,4.0840,5.4208,54.4590,true,5,0,1.0000,0.6298,1.1824
24,1780146047,1780145904,4.2310,17,92.4698,5.4394,4.0345,10.9552,143.4410,true,12,5,0.7059,0.6721,0.5500
25,1780146381,1780146250,4.0298,5,26.4053,5.2811,4.0803,8.5602,130.9680,true,5,0,1.0000,0.7060,1.2124
26,1780146700,1780146587,4.3309,8,50.7287,6.3411,4.1511,12.0806,113.3440,true,7,0,0.8750,0.7052,1.1728
